사업번호,자치구,사업구분,대표지번,상태
11560-900000508,영등포구,도시환경정비,영등포동,일시중단
11290-100001003,성북구,재개발,정릉동,일시중단
11305-100005002,강북구,재개발,미아동,일시중단
11260-900000170,중랑구,재개발,중화동,일시중단
11560-900000180,영등포구,재건축,신길동,일시중단
11380-100001067,은평구,도시환경정비,수색동,일시중단
11110-100003003,종로구,도시환경정비,교남동 28,일시중단
11560-900000515,영등포구,도시환경정비,영등포동2가 34-4,일시중단
11560-900000503,영등포구,도시환경정비,문래동2가 14-84,일시중단
11560-900000519,영등포구,도시환경정비,영등포동2가 333-,일시중단
11560-900000524,영등포구,도시환경정비,영등포동2가 170-,일시중단
11560-900000523,영등포구,도시환경정비,영등포동2가 213-,일시중단
11560-900000525,영등포구,도시환경정비,영등포동2가 159-,일시중단
11560-900000502,영등포구,도시환경정비,문래동1가 70-1,일시중단
11560-900000506,영등포구,도시환경정비,영등포동5가 46-4,일시중단
11560-900000507,영등포구,도시환경정비,영등포동5가 64,일시중단
11560-900000514,영등포구,도시환경정비,영등포동5가 34-16,일시중단
11560-900000516,영등포구,도시환경정비,영등포동5가 34-46,일시중단
11560-900000517,영등포구,도시환경정비,영등포동2가 34-75,일시중단
11560-900000520,영등포구,도시환경정비,영등포동2가 256-,일시중단
11560-900000522,영등포구,도시환경정비,영등포동2가 328-11,일시중단
11560-900000505,영등포구,도시환경정비,영등포동7가 105-7,일시중단
11560-900000509,영등포구,도시환경정비,영등포동5가 38-3,일시중단
11560-900000512,영등포구,도시환경정비,영등포동5가 100,일시중단
11560-900000521,영등포구,도시환경정비,영등포동2가 299-,일시중단
11560-900000511,영등포구,도시환경정비,영등포동5가 81-1,일시중단
11560-900000518,영등포구,도시환경정비,영등포동5가 6,일시중단
11680-900000662,강남구,재건축,개포동 653,운영
11710-900000730,송파구,재건축,방이동 225,운영
11110-900000727,종로구,재개발,교남동 28,운영
11560-900000693,영등포구,재건축,여의도동 28,운영
11545-900000094,금천구,재건축,시흥동 1002-2,일시중단
11560-900000584,영등포구,재건축,당산동5가 7-2,일시중단
11650-900000231,서초구,재건축,방배동 528-3,운영
11560-900000579,영등포구,재건축,문래동3가 76-1,운영
11650-900000733,서초구,재건축,방배동 757-3,운영
11560-900000580,영등포구,도시환경정비,당산동3가 410-,일시중단
11560-900000526,영등포구,도시환경정비,영등포동4가 423-,일시중단
11740-900000169,강동구,재건축,천호동 391-24,운영
11560-900000585,영등포구,재건축,문래동5가 22-,일시중단
11740-900000501,강동구,재건축,천호동 362-67,운영
11740-900000168,강동구,재건축,천호동 399-25,운영
11740-900000681,강동구,재개발,천호동 532-2,운영
11440-100006009,마포구,재개발,염리동 105,일시중단
11500-100002005,강서구,재건축,화곡동 1040-24,일시중단
11560-100004033,영등포구,도시환경정비,양평동1가 9-6,일시중단
11560-900000041,영등포구,재건축,여의도동 37,운영
11110-100003019,종로구,도시환경정비,내자동 81,운영
11110-900000002,종로구,재개발,창신동 23-,일시중단
11140-100006000,중구,도시환경정비,중림동 186-1,일시중단
11170-100005004,용산구,재건축,후암동 142-4,운영
11230-100007000,동대문구,재개발,전농동 204,운영
11230-900000092,동대문구,재개발,전농동 643,운영
11290-100005004,성북구,재건축,정릉동 410-10,일시중단
11305-100004000,강북구,도시환경정비,미아동 45-32,일시중단
11305-900000030,강북구,재건축,수유동 472-81,일시중단
11170-900000098,용산구,재개발,이태원동 79-,일시중단
11530-900000630,구로구,재건축,구로동 440,운영
11650-900000645,서초구,재건축,반포동 30-1,운영
11230-100003008,동대문구,재개발,신설동 92-5,일시중단
11290-100007002,성북구,재건축,종암동 103,일시중단
11740-900000739,강동구,재건축,명일동 15,운영
11305-900000024,강북구,재건축,미아동 8-373,운영
11305-100005001,강북구,재개발,미아동 791-108,일시중단
11380-900000045,은평구,재건축,불광동 19-3,운영
11410-100005004,서대문구,재건축,북가좌동 372-1,운영
11560-100003001,영등포구,재건축,여의도동 30,일시중단
11200-100002023,성동구,재건축,성수동1가 656-1267,운영
11215-100002002,광진구,재건축,자양동 464-40,운영
11590-100002004,동작구,재개발,흑석동 103-1,운영
11620-100001000,관악구,재개발,봉천동 913-1,운영
11680-100002003,강남구,재건축,도곡동 869,일시중단
11680-900000052,강남구,재건축,도곡동 463-1,운영
11260-100002001,중랑구,재건축,중화동 324,일시중단
11305-900000031,강북구,재건축,수유동 170-2,일시중단
11305-900000026,강북구,재건축,미아동 137-72,운영
11200-100002010,성동구,재개발,성수동2가 506,운영
11380-900000016,은평구,재건축,역촌동 2-45,운영
11305-100004002,강북구,도시환경정비,미아동 61-79,일시중단
11650-900000072,서초구,재건축,서초동 1315,운영
11650-100002015,서초구,재건축,잠원동 73,운영
11710-900000143,송파구,재개발,마천동 194-1,일시중단
11650-900000145,서초구,재건축,반포동 1-8,일시중단
11215-900000150,광진구,재건축,중곡동 190-26,일시중단
11650-900000605,서초구,재건축,잠원동 50-5,운영
11170-100003006,용산구,재개발,청파동2가 106,운영
11620-100003003,관악구,재건축,봉천동 63-89,일시중단
11560-100003000,영등포구,재건축,양평동1가 20,운영
11530-900000672,구로구,재건축,고척동 57-9,운영
11620-900000137,관악구,재건축,신림동 1656-,운영
11470-900000138,양천구,도시환경정비,신정동 1190-1,운영
11440-900000005,마포구,재건축,신수동 225-7,운영
11290-100010000,성북구,재건축,정릉동 506-50,운영
11560-100004036,영등포구,재개발,신길동 190,운영
11680-100002000,강남구,재건축,도곡동 462,운영
11230-900000737,동대문구,재개발,용두동 23-1,운영
11110-100008013,종로구,도시환경정비,창신동 330-1,운영
11560-100003002,영등포구,재건축,여의도동 50,일시중단
11290-100004001,성북구,재개발,성북동 179-68,운영
11470-100001010,양천구,재개발,신월동 159-192,일시중단
11710-900000179,송파구,재건축,오금동 143-,일시중단
11620-900000021,관악구,재개발,봉천동 1,운영
11230-900000357,동대문구,도시환경정비,용두동 53-6,일시중단
11560-900000555,영등포구,도시환경정비,양평동2가 29-6,운영
11440-900000735,마포구,재개발,도화동 536,운영
11200-900000123,성동구,재건축,성수동1가 656-421,일시중단
11305-900000032,강북구,재건축,수유동 291-224,일시중단
11410-900000075,서대문구,도시환경정비,충정로3가 250-70,운영
11230-900000356,동대문구,도시환경정비,용두동 52-28,일시중단
11320-100001000,도봉구,재건축,쌍문동 724,운영
11260-100002008,중랑구,재건축,면목동 172-1,일시중단
11710-100002006,송파구,재건축,잠실동 101-1,운영
11260-100003039,중랑구,도시환경정비,상봉동 107-1,일시중단
11470-900000176,양천구,도시환경정비,신정동 1182-1,일시중단
11200-900000147,성동구,재건축,성수동1가 22-13,일시중단
11170-900000111,용산구,재건축,이태원동 22-2,일시중단
11290-100002002,성북구,재개발,동선동1가 74-15,일시중단
11470-900000057,양천구,재건축,신월동 487-4,일시중단
11710-900000144,송파구,재개발,마천동 283-,운영
11200-900000696,성동구,도시환경정비,용답동 234,운영
11710-900000132,송파구,재건축,송파동 151-,운영
11650-900000590,서초구,재건축,반포동 65-1,운영
11710-900000691,송파구,재건축,가락동 192,운영
11260-900000034,중랑구,재건축,중화동 131-35,일시중단
11650-900000659,서초구,재건축,잠원동 62-4,운영
11560-900000661,영등포구,재건축,여의도동 32,운영
11215-900000667,광진구,재건축,광장동 264-1,운영
11230-900000729,동대문구,재개발,용두동 26-14,운영
11110-900000003,종로구,재개발,숭인동 65-17,일시중단
11290-100009004,성북구,재개발,하월곡동 34-10,일시중단
11545-900000438,금천구,재건축,가산동 547-44,운영
11560-900000504,영등포구,도시환경정비,문래동4가 23-6,운영
11710-900000615,송파구,재건축,신천동 7-,운영
11560-100004011,영등포구,도시환경정비,영등포동5가 30,운영
11440-100004008,마포구,재개발,공덕동 119,운영
11650-100002001,서초구,재건축,방배동 891-3,운영
11410-900000078,서대문구,재개발,북가좌동 73-1,운영
11290-100001002,성북구,재개발,정릉동 895,일시중단
11680-900000670,강남구,재건축,압구정동 490,운영
11680-900000683,강남구,재건축,개포동 187,운영
11410-900000064,서대문구,도시환경정비,홍제동 306-2,운영
11680-100002017,강남구,재건축,대치동 316,운영
11590-100007000,동작구,도시환경정비,흑석동 99-3,운영
11170-900000632,용산구,재건축,이촌동 203-75,운영
11680-900000675,강남구,재건축,압구정동 369-1,운영
11545-100002002,금천구,재건축,가산동 146-78,일시중단
11545-100002003,금천구,재건축,독산동 147-20,일시중단
11650-900000613,서초구,재건축,잠원동 61-1,운영
11230-100009003,동대문구,재개발,전농동 103,운영
11710-900000178,송파구,재건축,송파동 100-,일시중단
11170-900000657,용산구,재건축,서빙고동 241-21,운영
11560-900000651,영등포구,재건축,여의도동 50,운영
11680-900000684,강남구,재건축,압구정동 481,운영
11170-900000687,용산구,재건축,이촌동 211-2,운영
11680-900000688,강남구,재건축,개포동 185,운영
11710-900000692,송파구,재건축,오금동 166,운영
11170-900000695,용산구,도시환경정비,한강로동,운영
11230-900000700,동대문구,재건축,장안동 95-1,운영
11560-900000711,영등포구,재개발,신길동 39-3,운영
11620-900000717,관악구,재건축,신림동 746-43,운영
11170-900000709,용산구,도시환경정비,한강로동,운영
11650-900000725,서초구,재건축,방배동 758-4,운영
11470-100001009,양천구,재건축,신월동 432-6,일시중단
11500-100002008,강서구,재건축,등촌동 651,일시중단
11560-100004001,영등포구,재건축,대림동 929-56,운영
11140-100002007,중구,재개발,만리동2가 10,운영
11230-100001000,동대문구,재건축,장안동 435-4,일시중단
11230-100006039,동대문구,재개발,휘경동 128-12,운영
11290-100016007,성북구,재개발,장위동 290-9,운영
11740-100000041,강동구,재건축,성내동 547-1,일시중단
11740-100001039,강동구,재건축,성내동 405-9,일시중단
11740-100001042,강동구,재건축,상일동 134,운영
11740-100001048,강동구,재건축,둔촌동 513-1,일시중단
11740-100001053,강동구,재건축,천호동 28-32,일시중단
11650-900000128,서초구,재건축,잠원동 52,운영
11410-100007013,서대문구,재개발,북아현동 149,운영
11200-100002005,성동구,재개발,하왕십리동 999,운영
11215-100002006,광진구,재건축,구의동 227-3,운영
11590-100001008,동작구,재개발,노량진동 122-37,일시중단
11650-100002008,서초구,재건축,잠원동 64-8,운영
11650-100002025,서초구,재건축,반포동 32-5,운영
11680-100002008,강남구,재건축,개포동 140,운영
11215-100002008,광진구,재건축,구의동 122-2,운영
11500-100002010,강서구,재건축,방화동 191-3,일시중단
11230-100006002,동대문구,재건축,장안동 425-1,일시중단
11305-100002000,강북구,재개발,미아동 476,일시중단
11530-900000070,구로구,재건축,개봉동 335-16,일시중단
11380-100001048,은평구,재개발,녹번동 19,운영
11260-100003037,중랑구,재건축,묵동 81-17,운영
11650-100002023,서초구,재건축,잠원동 66,운영
11560-100003003,영등포구,재건축,양평동6가 85,운영
11500-100002016,강서구,재건축,내발산동 714-4,일시중단
11470-100001007,양천구,재건축,신월동 410-12,일시중단
11650-900000146,서초구,재건축,반포동 30-18,운영
11500-100002007,강서구,재건축,염창동 242-4,일시중단
11560-100004029,영등포구,재개발,도림동 162-94,운영
11470-100001013,양천구,재개발,신월동 612,일시중단
11200-100002022,성동구,재개발,금호동3가 632,일시중단
11470-100001011,양천구,재개발,신월동 603-3,일시중단
11650-100002011,서초구,재건축,서초동 1310,운영
11500-100001000,강서구,재건축,염창동 244-18,일시중단
11380-100001047,은평구,재개발,녹번동 53,운영
11680-100002027,강남구,재건축,일원동 689-1,운영
11740-100001047,강동구,재건축,고덕동 670,운영
11260-900000134,중랑구,재건축,면목동 134-40,일시중단
11230-100005001,동대문구,재건축,장안동 435-2,운영
11230-100007002,동대문구,재개발,답십리동 178,운영
11560-100004032,영등포구,재개발,당산동4가 2-1,운영
11590-100002000,동작구,재건축,상도동 36-1,운영
11440-100006004,마포구,재개발,아현동 85,운영
11470-100001006,양천구,재건축,신월동 8-1,일시중단
11650-100002029,서초구,재건축,반포동 2-1,운영
11650-900000121,서초구,재건축,서초동 1332-1,운영
11560-100003015,영등포구,재개발,신길동 347-50,운영
11290-100014001,성북구,재건축,정릉동 192,운영
11650-900000119,서초구,재건축,서초동 1331,운영
11500-100002015,강서구,재건축,화곡동 812-26,일시중단
11200-100002006,성동구,재개발,금호동1가 280,운영
11215-100001000,광진구,재건축,자양동 224-15,운영
11320-100003001,도봉구,재개발,쌍문동 414,일시중단
11470-900000110,양천구,재건축,목동 803-2,일시중단
11200-100002021,성동구,재개발,금호동4가 56-1,운영
11680-100002024,강남구,재건축,역삼동 711-1,운영
11230-100003009,동대문구,재개발,회기동 62-34,일시중단
11320-900000484,도봉구,재건축,방학동 636-,일시중단
11650-900000114,서초구,재건축,방배동 992-1,운영
11680-900000127,강남구,재건축,삼성동 22-,운영
11560-900000480,영등포구,재건축,문래동3가 81-1,운영
11230-100007003,동대문구,재개발,답십리동 98,운영
11545-100002001,금천구,재건축,시흥동 791-40,일시중단
11440-100001006,마포구,재건축,창전동 27-19,운영
11380-100000036,은평구,재건축,신사동 19-190,운영
11215-100004000,광진구,재건축,화양동 35-4,운영
11560-100004014,영등포구,도시환경정비,영등포동7가 145-8,운영
11170-100003003,용산구,도시환경정비,동자동 36-17,운영
11380-100001049,은평구,재개발,녹번동 4,운영
11200-100001004,성동구,재개발,금호동2가 566,일시중단
11650-100002003,서초구,재건축,잠원동 57,운영
11380-100001033,은평구,재개발,불광동 17,운영
11380-100001039,은평구,재개발,불광동 292,운영
11200-100001000,성동구,재개발,옥수동 500,일시중단
11170-100005007,용산구,재건축,한남동 729,일시중단
11560-100003010,영등포구,재개발,신길동 329-94,운영
11560-900000036,영등포구,재개발,신길동 2039,운영
11350-100002009,노원구,재건축,월계동 531,일시중단
11470-100001005,양천구,재건축,목동 632-1,운영
11545-900000712,금천구,재건축,가산동 1,운영
11350-100002008,노원구,재건축,공릉동 240-169,일시중단
11230-100003003,동대문구,재개발,용두동 80-1,일시중단
11350-900000019,노원구,재개발,월계동 672,운영
11440-100005000,마포구,재개발,아현동 635,운영
11110-100002009,종로구,재건축,무악동 71-1,운영
11230-100007004,동대문구,재개발,전농동 449-9,운영
11290-100001000,성북구,재개발,돈암동 535-54,운영
11290-100002003,성북구,재개발,돈암동 13-7,일시중단
11290-100005003,성북구,재개발,석관동 338-540,일시중단
11290-100014000,성북구,재개발,정릉동 10,일시중단
11290-100008003,성북구,재개발,보문동3가 225,일시중단
11410-100008008,서대문구,재건축,연희동 711,운영
11230-100003016,동대문구,재개발,전농동 518,운영
11410-100007006,서대문구,재개발,북아현동 174,운영
11410-100008009,서대문구,재건축,남가좌동 369-10,운영
11680-100002019,강남구,재건축,대치동 612,운영
11200-100001005,성동구,재개발,금호동2가 900,일시중단
11200-100002016,성동구,재개발,상왕십리동 12-37,일시중단
11200-100002012,성동구,재개발,금호동2가 200,일시중단
11200-100002014,성동구,재개발,하왕십리동 339-67,일시중단
11215-100002014,광진구,도시환경정비,자양동 778-6,운영
11680-100002020,강남구,재건축,대치동 633,운영
11380-100001044,은평구,재개발,응암동 663,일시중단
11230-100012000,동대문구,재건축,장안동 329-2,운영
11470-100001017,양천구,재개발,신정동 1033-1,운영
11410-100007000,서대문구,재개발,북가좌동 144,운영
11545-100002000,금천구,재건축,독산동 966-1,일시중단
11710-100002000,송파구,재건축,풍납동 153,일시중단
11380-100001038,은평구,재개발,응암동 171,일시중단
11710-100002009,송파구,재건축,송파동 167,일시중단
11200-100001003,성동구,재개발,옥수동 526,일시중단
11200-100002013,성동구,재개발,금호동4가 235-,일시중단
11410-100008006,서대문구,재건축,홍제동 451-13,운영
11590-100001010,동작구,재건축,사당동 167-19,운영
11290-100010002,성북구,재개발,종암동 95-2,일시중단
11380-100000033,은평구,재건축,응암동 620-1,운영
11290-100001001,성북구,재개발,정릉동 539-1,일시중단
11680-100002018,강남구,재건축,역삼동 709,운영
11740-100000039,강동구,재건축,길동 298-1,일시중단
11410-100003006,서대문구,재개발,홍은동 441-1,운영
11410-100005005,서대문구,재개발,남가좌동 124-1,운영
11290-100014004,성북구,재개발,길음동 612-10,일시중단
11140-100002003,중구,재개발,신당동 85,운영
11140-100002004,중구,재개발,만리동2가 176-1,운영
11230-100003005,동대문구,재개발,답십리동 25,운영
11740-100001040,강동구,재건축,고덕동 212,운영
11710-100002010,송파구,재건축,가락동 479,운영
11305-100005004,강북구,재건축,미아동 3-770,운영
11380-100001034,은평구,재개발,불광동 550,운영
11620-100002000,관악구,재건축,남현동 1079-13,일시중단
11620-100003013,관악구,재건축,봉천동 1598-10,일시중단
11680-100002007,강남구,재건축,개포동 138,운영
11440-100006006,마포구,재개발,아현동 380,운영
11170-100004002,용산구,도시환경정비,한강로동,운영
11110-100002007,종로구,재개발,무악동 46,운영
11170-100004001,용산구,도시환경정비,한강로동,운영
11620-100003007,관악구,재개발,봉천동 1553-1,운영
11290-100015000,성북구,재개발,길음동 498,운영
11710-100002004,송파구,재건축,풍납동 388-7,운영
11380-900000048,은평구,재건축,응암동 626-108,운영
11440-100001007,마포구,재건축,신수동 93-102,운영
11440-100002000,마포구,재건축,하중동 18-2,일시중단
